Algorithm,Benchmark,Rep,Seed,Evals,MaxLength,Levels,BestFitness,BestFitnessNormalised,TestFitness,TestFitnessNormalised,BestExpression
UCT,MEDIAN,23,-25545102,8192,100,0,0.032350000000000004,0.9686637283866905,0.03252749999999997,0.968497207096179,(21) if (I)< iload_1 iload_3 return_void print_int iload_3 concat concat iload_2 nop if (I)<= iload_1 iload_2 return_void print_int iload_1 return_void print_int iload_2 
UCT,MEDIAN,24,-2705332,8192,100,0,0.032975000000000004,0.9680776398267141,0.04433874999999999,0.9575437088779861,(13) if (I)< iload_1 iload_2 return_void return_void print_int iload_1 return_void return_void return_void print_int iload_2 
UCT,MEDIAN,25,-86344636,8192,100,0,0.037887500000000005,0.9634955618985679,0.04311624999999998,0.9586659205050252,(12) if (I)<= iload_2 iload_1 return_void return_void print_int iload_3 return_void return_void print_int iload_1 
UCT,MEDIAN,26,-61849065,8192,100,0,0.03525,0.9659502535619415,0.04216125000000002,0.9595444083149322,(3) return_void print_int iload_1 
UCT,MEDIAN,27,77473160,8192,100,0,0.0327625,0.9682768303457958,0.04327500000000001,0.9585200450504422,(29) concat iload_1 if (I)< iload_1 iload_2 if (I)< iload_1 iload_1 concat nop return_void nop return_void print_int iload_2 if (I)<= iload_1 iload_1 return_void print_int iload_1 concat iload_1 return_void print_int iload_2 
UCT,MEDIAN,28,-37410527,8192,100,0,0.027075000000000005,0.9736387313487331,0.03323875,0.967830523197083,(31) concat if (I)<= iload_1 iload_1 iload_2 iload_3 concat concat if (I)< iload_2 iload_3 if (I)< iload_3 iload_1 return_void return_void return_void print_int iload_3 return_void return_void print_int iload_2 nop nop return_void print_int iload_3 
UCT,MEDIAN,29,64754548,8192,100,0,0.03291249999999999,0.968136216765699,0.04153875000000002,0.9601179024784244,(19) if (I)< iload_2 iload_1 return_void print_int iload_1 concat return_void return_void print_int iload_3 if (I)< iload_1 iload_3 nop print_int iload_1 
UCT,MEDIAN,30,-39263106,8192,100,0,0.035250000000000004,0.9659502535619415,0.04276875000000003,0.9589853934537259,(12) if (I)<= iload_2 iload_3 return_void return_void print_int iload_3 return_void return_void print_int iload_1 
UCT,MEDIAN,1,-55569431,16384,100,0,0.036875,0.9644364074743822,0.041432499999999976,0.9602158565245468,(13) if (I)<= iload_3 iload_1 return_void print_int iload_1 return_void return_void return_void return_void print_int iload_2 
UCT,MEDIAN,2,50480637,16384,100,0,0.02885,0.9719589833309034,0.03219500000000002,0.9688091881863408,(17) if (I)< iload_3 iload_1 return_void print_int iload_3 if (I)<= iload_2 iload_3 return_void print_int iload_2 return_void print_int iload_3 
UCT,MEDIAN,3,22339396,16384,100,0,0.025437500000000002,0.9751935149631255,0.029747499999999996,0.9711118502351305,(35) if (I)<= iload_3 iload_1 if (I)< iload_2 iload_1 return_void print_int iload_2 concat concat return_void print_int iload_2 print_int iload_3 return_void return_void return_void return_void nop if (I)<= iload_1 iload_2 return_void print_int iload_3 concat nop return_void print_int iload_1 
UCT,MEDIAN,4,-15323845,16384,100,0,0.03319999999999999,0.9678668215253582,0.04255625000000004,0.9591808595459477,(10) if (I)< iload_1 iload_3 return_void print_int iload_3 return_void print_int iload_1 
UCT,MEDIAN,5,55757269,16384,100,0,0.03517499999999999,0.9660202381239887,0.04095499999999997,0.9606563203980959,(12) if (I)<= iload_2 iload_3 return_void print_int iload_1 return_void return_void return_void print_int iload_2 
UCT,MEDIAN,6,61038255,16384,100,0,0.031124999999999993,0.9698145229724815,0.03932749999999998,0.9621606279060259,(25) concat if (I)< iload_3 iload_2 if (I)<= iload_3 iload_3 nop print_int iload_2 return_void return_void print_int iload_3 concat concat nop iload_3 return_void return_void return_void print_int iload_1 
UCT,MEDIAN,7,-35900712,16384,100,0,0.029862500000000004,0.97100341064948,0.030696249999999994,0.9702179473341442,(35) concat iload_1 if (I)<= iload_1 iload_3 concat iload_2 if (I)<= iload_1 iload_3 return_void print_int iload_2 concat return_void return_void print_int iload_2 return_void return_void nop if (I)< iload_3 iload_2 return_void print_int iload_2 return_void return_void return_void print_int iload_3 
UCT,MEDIAN,8,-86812719,16384,100,0,0.032062499999999994,0.9689335674922789,0.04175999999999995,0.9599139917063431,(13) if (I)<= iload_2 iload_1 concat return_void print_int iload_2 print_int iload_3 return_void print_int iload_3 
UCT,MEDIAN,9,-33513303,16384,100,0,0.032675,0.9683588737986297,0.031432499999999995,0.9695253930819516,(27) concat iload_1 concat iload_2 concat concat if (I)<= iload_1 iload_3 iload_2 return_void return_void print_int iload_2 iload_3 if (I)< iload_3 iload_2 return_void print_int iload_3 return_void return_void print_int iload_2 
UCT,MEDIAN,10,-48313690,16384,100,0,0.0322375,0.9687692997008925,0.040733750000000006,0.9608605467056296,(12) concat if (I)<= iload_2 iload_1 iload_1 return_void print_int iload_3 return_void print_int iload_2 
UCT,MEDIAN,11,-91680246,16384,100,0,0.0321625,0.968839693362237,0.04372250000000003,0.9581090759277489,(14) if (I)< iload_2 iload_3 return_void return_void print_int iload_1 concat iload_2 return_void return_void print_int iload_2 
UCT,MEDIAN,12,8556136,16384,100,0,0.028549999999999996,0.9722424772738321,0.03329999999999998,0.9677731539727089,(17) concat if (I)<= iload_3 iload_1 if (I)< iload_1 iload_2 return_void print_int iload_1 iload_1 iload_1 return_void print_int iload_3 
UCT,MEDIAN,13,-19127870,16384,100,0,0.0305375,0.9703674053588539,0.02876375000000002,0.9720404709050061,(25) if (I)< iload_2 iload_3 concat concat concat if (I)< iload_1 iload_3 return_void print_int iload_1 nop return_void print_int iload_3 nop iload_2 concat iload_1 return_void print_int iload_2 
UCT,MEDIAN,14,-99280293,16384,100,0,0.0349625,0.9662185827988937,0.030366250000000015,0.9705286833686566,(22) if (I)<= iload_1 iload_2 if (I)<= iload_3 iload_2 return_void return_void print_int iload_3 concat return_void print_int iload_2 return_void print_int iload_3 return_void print_int iload_2 
UCT,MEDIAN,15,42049680,16384,100,0,0.028200000000000003,0.9725734292939117,0.03036125000000001,0.970533393021137,(21) if (I)< iload_2 iload_1 if (I)< iload_3 iload_2 return_void print_int iload_2 return_void return_void return_void print_int iload_3 concat return_void print_int iload_1 iload_3 
UCT,MEDIAN,16,24450831,16384,100,0,0.02635,0.9743264968090807,0.029232500000000015,0.9715977682399264,(27) concat if (I)<= iload_1 iload_2 nop if (I)< iload_3 iload_2 nop concat concat return_void print_int iload_3 if (I)<= iload_3 iload_2 print_int iload_2 iload_1 nop return_void print_int iload_2 
UCT,MEDIAN,17,95070010,16384,100,0,0.03239999999999999,0.9686168151879117,0.04292125,0.9588451668810085,(13) if (I)< iload_1 iload_2 concat iload_3 return_void print_int iload_2 return_void return_void print_int iload_3 
UCT,MEDIAN,18,-35657323,16384,100,0,0.030162500000000002,0.9707206387341802,0.04333625000000004,0.9584637742626119,(17) if (I)< iload_3 iload_2 return_void print_int iload_1 if (I)<= iload_3 iload_1 return_void print_int iload_1 return_void print_int iload_2 
UCT,MEDIAN,19,-55061805,16384,100,0,0.027437500000000007,0.973295212604173,0.029611250000000023,0.9712403589218745,(27) if (I)< iload_1 iload_3 return_void return_void print_int iload_1 if (I)< iload_2 iload_1 concat iload_3 concat print_int iload_2 concat iload_3 return_void nop return_void return_void return_void return_void print_int iload_1 
UCT,MEDIAN,20,-64719456,16384,100,0,0.03905,0.9624175929935999,0.04282375000000005,0.9589348152072676,(26) if (I)< iload_1 iload_3 return_void return_void print_int iload_2 if (I)< iload_3 iload_2 concat concat iload_1 return_void return_void print_int iload_1 iload_3 return_void return_void return_void return_void print_int iload_1 
UCT,MEDIAN,21,-20920834,16384,100,0,0.028537500000000007,0.9722542931103629,0.03149375,0.9694678227570452,(32) concat iload_2 concat iload_2 concat if (I)<= iload_3 iload_2 iload_3 if (I)< iload_2 iload_1 if (I)< iload_2 iload_3 return_void print_int iload_1 return_void print_int iload_3 return_void print_int iload_2 return_void return_void return_void print_int iload_3 
UCT,MEDIAN,22,71286703,16384,100,0,0.028775,0.9720298413161285,0.031465000000000014,0.9694948447111632,(25) concat if (I)< iload_2 iload_3 iload_2 if (I)<= iload_1 iload_3 return_void print_int iload_3 concat iload_1 nop return_void return_void return_void return_void return_void return_void return_void print_int iload_1 
UCT,MEDIAN,23,54496053,16384,100,0,0.033549999999999996,0.9675390643897248,0.04165124999999998,0.9600142082102816,(14) if (I)< iload_2 iload_3 concat return_void print_int iload_3 return_void nop return_void return_void print_int iload_1 
UCT,MEDIAN,24,68759761,16384,100,0,0.032075,0.9689218322311847,0.031038749999999986,0.9698956513516102,(21) concat concat if (I)< iload_2 iload_1 if (I)<= iload_3 iload_2 return_void return_void print_int iload_2 iload_1 iload_1 print_int iload_1 return_void return_void nop 
UCT,MEDIAN,25,-30291942,16384,100,0,0.040475,0.9610994978255124,0.043008749999999984,0.9587647275250567,(15) concat if (I)< iload_1 iload_2 return_void return_void return_void print_int iload_1 iload_1 return_void return_void print_int iload_3 
UCT,MEDIAN,26,81518393,16384,100,0,0.031400000000000004,0.9695559433779328,0.040450000000000035,0.9611225911865058,(3) return_void print_int iload_2 
UCT,MEDIAN,27,38377585,16384,100,0,0.033212500000000006,0.9678551120897201,0.04067749999999997,0.9609124824933758,(13) concat iload_3 if (I)<= iload_3 iload_1 return_void print_int iload_1 return_void return_void print_int iload_2 
UCT,MEDIAN,28,-70252240,16384,100,0,0.034800000000000005,0.9663703131039815,0.03810375000000001,0.9632948537176558,(10) if (I)<= iload_1 iload_3 return_void print_int iload_3 return_void print_int iload_2 
UCT,MEDIAN,29,-6680562,16384,100,0,0.0276625,0.9730821159670613,0.03261999999999999,0.968410451085588,(28) if (I)<= iload_2 iload_3 if (I)< iload_3 iload_1 return_void return_void return_void return_void return_void print_int iload_3 concat return_void return_void print_int iload_2 print_int iload_3 return_void return_void return_void return_void print_int iload_2 
UCT,MEDIAN,30,47916259,16384,100,0,0.03335,0.9677263269947259,0.04377624999999995,0.9580597374197776,(36) if (I)< iload_1 iload_1 return_void nop if (I)<= iload_3 iload_2 concat concat concat iload_2 iload_1 nop concat concat return_void print_int iload_3 concat if (I)< iload_1 iload_1 nop concat print_int iload_1 nop iload_2 iload_3 return_void print_int iload_1 
UCT,MEDIAN,1,-58111548,32768,100,0,0.030762500000000005,0.9701555887025382,0.04129000000000001,0.9603472615697836,(11) if (I)<= iload_1 iload_2 return_void print_int iload_3 return_void return_void print_int iload_2 
UCT,MEDIAN,2,91788623,32768,100,0,0.024875,0.9757287474082206,0.03079124999999996,0.9701285299036055,(35) if (I)<= iload_2 iload_3 concat iload_1 return_void return_void return_void print_int iload_2 concat if (I)< iload_1 iload_2 return_void return_void return_void return_void return_void print_int iload_1 if (I)< iload_1 iload_3 return_void nop concat iload_1 nop return_void print_int iload_2 
UCT,MEDIAN,3,42090284,32768,100,0,0.026725000000000002,0.9739706347853612,0.03051250000000001,0.9703909462524715,(21) concat if (I)< iload_1 iload_2 iload_3 if (I)< iload_2 iload_3 iload_2 return_void return_void print_int iload_2 return_void return_void return_void return_void print_int iload_1 
UCT,MEDIAN,4,99071248,32768,100,0,0.027462499999999997,0.9732715305911408,0.028817499999999992,0.971989687189419,(27) if (I)<= iload_1 iload_3 concat concat iload_2 return_void print_int iload_3 iload_2 concat nop concat if (I)< iload_2 iload_1 return_void print_int iload_2 return_void return_void print_int iload_1 print_int iload_1 
UCT,MEDIAN,5,-40084121,32768,100,0,0.030624999999999996,0.970285021224985,0.03137375000000001,0.9695806200225671,(19) if (I)<= iload_1 iload_2 return_void print_int iload_1 concat iload_1 if (I)< iload_1 iload_3 return_void print_int iload_1 return_void print_int iload_3 
UCT,MEDIAN,6,-41460805,32768,100,0,0.027962500000000005,0.972798132227586,0.031790000000000006,0.9691894668488743,(42) if (I)<= iload_1 iload_2 concat if (I)<= iload_1 iload_2 iload_1 iload_1 return_void print_int iload_2 if (I)< iload_3 iload_1 return_void print_int iload_3 concat return_void return_void print_int iload_1 if (I)< iload_1 iload_3 return_void return_void return_void print_int iload_1 if (I)<= iload_3 iload_1 nop print_int iload_1 
UCT,MEDIAN,7,5641665,32768,100,0,0.026562499999999996,0.974124809741248,0.030185000000000014,0.970699437479676,(25) concat concat concat nop if (I)< iload_2 iload_1 iload_3 concat if (I)< iload_3 iload_1 return_void print_int iload_1 iload_3 return_void print_int iload_3 iload_3 return_void print_int iload_2 
UCT,MEDIAN,8,9859693,32768,100,0,0.027687499999999993,0.9730584443228121,0.030245000000000025,0.9706429053283442,(17) if (I)< iload_3 iload_2 return_void print_int iload_3 if (I)<= iload_2 iload_1 return_void print_int iload_3 return_void print_int iload_2 
UCT,MEDIAN,9,41430332,32768,100,0,0.02595,0.9747063697061261,0.03221749999999999,0.9687880703437017,(39) concat if (I)< iload_1 iload_2 iload_2 concat if (I)< iload_1 iload_3 return_void print_int iload_1 concat nop return_void print_int iload_3 if (I)<= iload_2 iload_1 return_void print_int iload_2 nop concat iload_2 concat return_void print_int iload_3 return_void return_void return_void return_void print_int iload_3 
UCT,MEDIAN,10,-33577889,32768,100,0,0.027749999999999993,0.9729992702505473,0.03209625,0.9689018829396968,(19) if (I)<= iload_1 iload_2 concat if (I)<= iload_3 iload_1 return_void print_int iload_1 print_int iload_2 return_void nop return_void print_int iload_1 
UCT,MEDIAN,11,-67181946,32768,100,0,0.027287500000000003,0.9734373288879696,0.029116249999999986,0.9717075208947483,(34) concat if (I)< iload_1 iload_3 iload_3 if (I)< iload_1 iload_3 iload_3 concat if (I)< iload_1 iload_2 return_void return_void print_int iload_1 if (I)<= iload_3 iload_1 iload_2 iload_2 concat iload_3 return_void print_int iload_3 return_void print_int iload_2 
UCT,MEDIAN,12,-2319104,32768,100,0,0.027612500000000005,0.9731294627108954,0.030657499999999983,0.9702544249665869,(19) if (I)< iload_3 iload_2 concat if (I)<= iload_1 iload_2 iload_3 return_void print_int iload_2 return_void print_int iload_3 return_void print_int iload_2 
UCT,MEDIAN,13,-84574330,32768,100,0,0.031925,0.9690626741284493,0.032643749999999985,0.9683881784013121,(35) if (I)< iload_3 iload_2 concat iload_3 return_void print_int iload_1 concat if (I)< iload_1 iload_3 iload_3 iload_3 if (I)< iload_3 iload_1 return_void print_int iload_3 concat return_void return_void return_void print_int iload_2 concat return_void return_void nop print_int iload_3 
UCT,MEDIAN,14,41522947,32768,100,0,0.026612499999999994,0.9740773660948021,0.030777500000000024,0.9701414708799909,(30) concat if (I)< iload_3 iload_2 if (I)< iload_2 iload_1 concat iload_2 nop return_void return_void print_int iload_3 return_void return_void return_void return_void print_int iload_1 return_void return_void return_void return_void return_void return_void print_int iload_2 
UCT,MEDIAN,15,-10185500,32768,100,0,0.023174999999999998,0.9773499157035698,0.03163624999999997,0.9693339100870098,(27) concat if (I)<= iload_1 iload_3 if (I)<= iload_2 iload_1 if (I)<= iload_1 iload_1 iload_3 iload_2 return_void print_int iload_3 iload_1 concat iload_3 return_void return_void return_void return_void print_int iload_1 
