Case 02,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Amortise opt. 13,1.03483E-06,9.2611E-07,1.16274E-06,1.01269E-06,1.15743E-06,9.34636E-07,9.31688E-07,1.02749E-06,9.91387E-07,9.71299E-07,9.40186E-07,1.25856E-06,9.413E-07,9.51638E-07,1.07677E-06,9.91067E-07,9.84575E-07,1.16708E-06,9.58367E-07,9.96852E-07
Amortise opt. 14,1.03178E-06,9.2987E-07,1.17934E-06,1.02298E-06,1.17016E-06,9.34782E-07,9.34265E-07,1.01412E-06,9.69109E-07,9.78453E-07,9.70002E-07,1.27027E-06,9.3937E-07,9.63411E-07,1.12219E-06,1.0116E-06,1.00283E-06,1.16272E-06,9.60117E-07,1.00102E-06
Amortise opt. 15,1.01475E-06,9.20591E-07,1.15783E-06,9.71015E-07,1.15477E-06,9.3958E-07,9.41367E-07,1.01567E-06,9.8935E-07,1.00897E-06,9.38824E-07,1.25873E-06,9.39334E-07,9.38697E-07,1.13372E-06,1.02319E-06,9.93014E-07,1.1615E-06,9.46583E-07,9.85956E-07
Amortise opt. 16,1.01407E-06,9.19691E-07,1.15114E-06,1.02544E-06,1.15754E-06,9.4607E-07,9.31729E-07,1.01932E-06,9.69036E-07,1.00892E-06,9.34016E-07,1.25791E-06,9.40424E-07,9.38725E-07,1.12158E-06,9.89047E-07,9.84146E-07,1.16286E-06,9.46446E-07,9.85315E-07
Amortise opt. 17,1.01828E-06,9.20976E-07,1.15797E-06,1.00259E-06,1.15148E-06,9.45666E-07,9.28798E-07,1.00202E-06,9.76006E-07,9.96065E-07,9.41755E-07,1.27491E-06,9.4111E-07,9.39552E-07,1.11844E-06,1.01236E-06,9.87607E-07,1.16244E-06,9.57444E-07,9.83677E-07
Amortise opt. 18,1.01926E-06,9.19406E-07,1.1392E-06,9.72563E-07,1.1523E-06,9.35662E-07,9.22006E-07,1.0049E-06,9.87625E-07,9.96619E-07,9.93256E-07,1.23419E-06,9.13904E-07,1.03376E-06,1.12444E-06,1.02306E-06,1.00433E-06,1.1606E-06,9.45655E-07,9.86017E-07
Amortise opt. 19,1.07484E-06,9.26951E-07,1.15021E-06,1.0249E-06,1.16478E-06,9.36898E-07,9.28978E-07,1.00238E-06,1.03086E-06,9.72667E-07,1.00292E-06,1.15479E-06,9.19601E-07,1.04171E-06,1.12533E-06,1.00749E-06,9.84463E-07,1.16902E-06,9.42997E-07,9.87171E-07
Amortise opt. 20,1.07376E-06,9.20107E-07,1.16268E-06,1.00405E-06,1.16857E-06,9.36311E-07,9.21685E-07,9.87261E-07,9.49864E-07,9.82574E-07,1.00706E-06,1.13832E-06,9.13675E-07,1.01835E-06,1.02376E-06,1.01601E-06,9.86192E-07,1.16039E-06,9.38967E-07,1.10154E-06
Amortise opt. 21,1.0691E-06,1.18259E-06,1.13665E-06,9.7241E-07,1.15965E-06,9.25747E-07,9.20954E-07,9.93645E-07,9.70768E-07,1.00819E-06,1.01709E-06,1.12237E-06,9.10726E-07,1.01686E-06,1.0198E-06,1.00732E-06,1.00068E-06,1.16444E-06,9.43899E-07,1.11829E-06
Amortise opt. 22,1.09372E-06,1.19907E-06,1.13711E-06,1.026E-06,1.15847E-06,9.25634E-07,9.24128E-07,1.00783E-06,9.47702E-07,9.75327E-07,1.02832E-06,1.11854E-06,9.15524E-07,1.03079E-06,1.10501E-06,1.00388E-06,9.84241E-07,1.16753E-06,9.42675E-07,1.09476E-06
